1.80312
TIME,HR,Resp,GSR,SKT,RRi,SDNN,FatiVal,FatiLevel,gPpgReliability,gCurUserIndex,baseSDNN,nEyeDropMs
9:15:10,52,28,42,17.56,1139,0,0,0,100,52316,130,0
9:15:10,63,28,42,17.56,940,140,0,1,100,52316,130,0
